"","X","Data","EBA.US48.ALL.D.H","Year","day","month","hour","wday","value"
"1","",2015-06-30 22:00:00,162827,2015,30,6,22,26,162827
"2","",2015-06-30 23:00:00,335153,2015,30,6,23,26,335153
"3","",2015-07-01 00:00:00,333837,2015,1,7,0,26,333837
"4","",2015-07-01 01:00:00,398386,2015,1,7,1,26,398386
"5","",2015-07-01 02:00:00,388954,2015,1,7,2,26,388954
"6","",2015-07-01 03:00:00,392487,2015,1,7,3,26,392487
"7","",2015-07-01 04:00:00,404647,2015,1,7,4,26,404647
"8","",2015-07-01 05:00:00,422227,2015,1,7,5,26,422227
"9","",2015-07-01 06:00:00,442131,2015,1,7,6,26,442131
"10","",2015-07-01 07:00:00,464371,2015,1,7,7,26,464371
"11","",2015-07-01 08:00:00,491512,2015,1,7,8,26,491512
"12","",2015-07-01 09:00:00,518043,2015,1,7,9,26,518043
"13","",2015-07-01 10:00:00,540514,2015,1,7,10,26,540514
"14","",2015-07-01 11:00:00,560701,2015,1,7,11,26,560701
"15","",2015-07-01 12:00:00,576400,2015,1,7,12,26,576400
"16","",2015-07-01 13:00:00,587405,2015,1,7,13,26,587405
"17","",2015-07-01 14:00:00,594477,2015,1,7,14,26,594477
"18","",2015-07-01 15:00:00,595242,2015,1,7,15,26,595242
"19","",2015-07-01 16:00:00,586317,2015,1,7,16,26,586317
"20","",2015-07-01 17:00:00,572656,2015,1,7,17,26,572656
"21","",2015-07-01 18:00:00,554682,2015,1,7,18,26,554682
"22","",2015-07-01 19:00:00,543332,2015,1,7,19,26,543332
"23","",2015-07-01 20:00:00,520871,2015,1,7,20,26,520871
"24","",2015-07-01 21:00:00,485722,2015,1,7,21,26,485722
"25","",2015-07-01 22:00:00,453284,2015,1,7,22,26,453284
"26","",2015-07-01 23:00:00,429199,2015,1,7,23,26,429199
"27","",2015-07-02 00:00:00,407007,2015,2,7,0,27,407007
"28","",2015-07-02 01:00:00,395194,2015,2,7,1,27,395194
"29","",2015-07-02 02:00:00,387654,2015,2,7,2,27,387654
"30","",2015-07-02 03:00:00,390157,2015,2,7,3,27,390157
"31","",2015-07-02 04:00:00,401643,2015,2,7,4,27,401643
"32","",2015-07-02 05:00:00,417369,2015,2,7,5,27,417369
"33","",2015-07-02 06:00:00,437741,2015,2,7,6,27,437741
"34","",2015-07-02 07:00:00,459562,2015,2,7,7,27,459562
"35","",2015-07-02 08:00:00,485186,2015,2,7,8,27,485186
"36","",2015-07-02 09:00:00,509369,2015,2,7,9,27,509369
"37","",2015-07-02 10:00:00,529809,2015,2,7,10,27,529809
"38","",2015-07-02 11:00:00,546611,2015,2,7,11,27,546611
"39","",2015-07-02 12:00:00,558445,2015,2,7,12,27,558445
"40","",2015-07-02 13:00:00,565833,2015,2,7,13,27,565833
"41","",2015-07-02 14:00:00,569351,2015,2,7,14,27,569351
"42","",2015-07-02 15:00:00,569616,2015,2,7,15,27,569616
"43","",2015-07-02 16:00:00,561747,2015,2,7,16,27,561747
"44","",2015-07-02 17:00:00,549867,2015,2,7,17,27,549867
"45","",2015-07-02 18:00:00,533110,2015,2,7,18,27,533110
"46","",2015-07-02 19:00:00,522864,2015,2,7,19,27,522864
"47","",2015-07-02 20:00:00,501272,2015,2,7,20,27,501272
"48","",2015-07-02 21:00:00,470322,2015,2,7,21,27,470322
"49","",2015-07-02 22:00:00,440084,2015,2,7,22,27,440084
"50","",2015-07-02 23:00:00,415203,2015,2,7,23,27,415203
"51","",2015-07-03 00:00:00,394227,2015,3,7,0,27,394227
"52","",2015-07-03 01:00:00,383147,2015,3,7,1,27,383147
"53","",2015-07-03 02:00:00,373941,2015,3,7,2,27,373941
"54","",2015-07-03 03:00:00,371552,2015,3,7,3,27,371552
"55","",2015-07-03 04:00:00,373312,2015,3,7,4,27,373312
"56","",2015-07-03 05:00:00,380160,2015,3,7,5,27,380160
"57","",2015-07-03 06:00:00,396051,2015,3,7,6,27,396051
"58","",2015-07-03 07:00:00,418789,2015,3,7,7,27,418789
"59","",2015-07-03 08:00:00,444329,2015,3,7,8,27,444329
"60","",2015-07-03 09:00:00,466734,2015,3,7,9,27,466734
"61","",2015-07-03 10:00:00,487268,2015,3,7,10,27,487268
"62","",2015-07-03 11:00:00,504422,2015,3,7,11,27,504422
"63","",2015-07-03 12:00:00,518545,2015,3,7,12,27,518545
"64","",2015-07-03 13:00:00,528781,2015,3,7,13,27,528781
"65","",2015-07-03 14:00:00,536381,2015,3,7,14,27,536381
"66","",2015-07-03 15:00:00,539823,2015,3,7,15,27,539823
"67","",2015-07-03 16:00:00,534988,2015,3,7,16,27,534988
"68","",2015-07-03 17:00:00,523996,2015,3,7,17,27,523996
"69","",2015-07-03 18:00:00,510066,2015,3,7,18,27,510066
"70","",2015-07-03 19:00:00,500554,2015,3,7,19,27,500554
"71","",2015-07-03 20:00:00,482726,2015,3,7,20,27,482726
"72","",2015-07-03 21:00:00,455366,2015,3,7,21,27,455366
"73","",2015-07-03 22:00:00,428928,2015,3,7,22,27,428928
"74","",2015-07-03 23:00:00,403685,2015,3,7,23,27,403685
"75","",2015-07-04 00:00:00,384331,2015,4,7,0,27,384331
"76","",2015-07-04 01:00:00,373639,2015,4,7,1,27,373639
"77","",2015-07-04 02:00:00,363002,2015,4,7,2,27,363002
"78","",2015-07-04 03:00:00,357789,2015,4,7,3,27,357789
"79","",2015-07-04 04:00:00,355088,2015,4,7,4,27,355088
"80","",2015-07-04 05:00:00,356956,2015,4,7,5,27,356956
"81","",2015-07-04 06:00:00,371087,2015,4,7,6,27,371087
"82","",2015-07-04 07:00:00,396040,2015,4,7,7,27,396040
"83","",2015-07-04 08:00:00,423956,2015,4,7,8,27,423956
"84","",2015-07-04 09:00:00,450542,2015,4,7,9,27,450542
"85","",2015-07-04 10:00:00,472985,2015,4,7,10,27,472985
"86","",2015-07-04 11:00:00,490561,2015,4,7,11,27,490561
"87","",2015-07-04 12:00:00,502921,2015,4,7,12,27,502921
"88","",2015-07-04 13:00:00,512645,2015,4,7,13,27,512645
