"","day","Type","Year","sourceprod","pctprod","daysince18"
"1",1,"coal","2019",2587248,0.259900825950286,366
"2",1,"coal","2020",1573370,0.158182805493508,731
"3",1,"hydro","2019",805120,0.0805687071722239,366
"4",1,"hydro","2020",626907,0.0627141514927751,731
"5",1,"natgas","2019",2735574,0.273600631119657,366
"6",1,"natgas","2020",3032122,0.304825934827114,731
"7",1,"nuclear","2019",2476348,0.250942254291691,366
"8",1,"nuclear","2020",2284427,0.230172019967714,731
"9",1,"oil","2019",51156,0.00518900784961347,366
"10",1,"oil","2020",76595,0.00770532374589861,731
"11",1,"solar","2019",104416,0.0101910724316697,366
"12",1,"solar","2020",113918,0.0114702018550701,731
"13",1,"wind","2019",599227,0.0629384536519595,366
"14",1,"wind","2020",1351320,0.13596881023764,731
"15",2,"coal","2019",2824619,0.255035221806411,367
"16",2,"coal","2020",1862567,0.177987777872755,732
"17",2,"hydro","2019",905497,0.0808794902442702,367
"18",2,"hydro","2020",724191,0.0687105056271966,732
"19",2,"natgas","2019",3600688,0.322504549843765,367
"20",2,"natgas","2020",3484887,0.332711789826989,732
"21",2,"nuclear","2019",2486516,0.225946867964888,367
"22",2,"nuclear","2020",2268926,0.21845685821757,732
"23",2,"oil","2019",46212,0.00416036070923581,367
"24",2,"oil","2020",99697,0.00948829563910322,732
"25",2,"solar","2019",105956,0.00902072420768598,367
"26",2,"solar","2020",108432,0.00997814014755959,732
"27",2,"wind","2019",480203,0.0433571147699662,367
"28",2,"wind","2020",924359,0.0897474904466452,732
"29",3,"coal","2019",2720241,0.245522198206201,368
"30",3,"coal","2020",1782094,0.173736896351293,733
"31",3,"hydro","2019",869803,0.0778827458183013,368
"32",3,"hydro","2020",702358,0.0679764927782663,733
"33",3,"natgas","2019",3561128,0.320028889097611,368
"34",3,"natgas","2020",3564014,0.346775850222723,733
"35",3,"nuclear","2019",2486977,0.225288192165812,368
"36",3,"nuclear","2020",2257536,0.221286130836019,733
"37",3,"oil","2019",43293,0.00392991583963534,368
"38",3,"oil","2020",99939,0.00971371497937815,733
"39",3,"solar","2019",109843,0.00956921089344536,368
"40",3,"solar","2020",110797,0.0102658002629729,733
"41",3,"wind","2019",696840,0.0630446616780942,368
"42",3,"wind","2020",833514,0.0816581431530909,733
"43",4,"coal","2019",2675222,0.246826329675481,369
"44",4,"coal","2020",1680223,0.168623375958934,734
"45",4,"hydro","2019",846814,0.077910880411665,369
"46",4,"hydro","2020",673329,0.0671322327687458,734
"47",4,"natgas","2019",3487576,0.321326943480934,369
"48",4,"natgas","2020",3326116,0.334001190839426,734
"49",4,"nuclear","2019",2470549,0.22902064667917,369
"50",4,"nuclear","2020",2255728,0.227290475110382,734
"51",4,"oil","2019",61756,0.00568545471052235,369
"52",4,"oil","2020",91557,0.00918908879595068,734
"53",4,"solar","2019",111131,0.00997165107777713,369
"54",4,"solar","2020",120380,0.0117477121841,734
"55",4,"wind","2019",595498,0.0559639088877026,369
"56",4,"wind","2020",893676,0.0898062506635978,734
"57",5,"coal","2019",2499119,0.247534048282763,370
"58",5,"coal","2020",1636703,0.161048913906445,735
"59",5,"hydro","2019",825589,0.0815928041983785,370
"60",5,"hydro","2020",686854,0.0674621556955053,735
"61",5,"natgas","2019",3017819,0.298854353698979,370
"62",5,"natgas","2020",3216364,0.316566774442712,735
"63",5,"nuclear","2019",2442494,0.242534103386569,370
"64",5,"nuclear","2020",2276473,0.224942883231059,735
"65",5,"oil","2019",54024,0.0053591149548128,370
"66",5,"oil","2020",66732,0.00658008009012055,735
"67",5,"solar","2019",68024,0.00663733585596866,370
"68",5,"solar","2020",144455,0.0142907108896435,735
"69",5,"wind","2019",684525,0.0680217275926352,370
"70",5,"wind","2020",1121697,0.111255777443088,735
"71",6,"coal","2019",2175949,0.220886853980012,371
"72",6,"coal","2020",1888012,0.174042001715877,736
"73",6,"hydro","2019",788959,0.0796898703435889,371
"74",6,"hydro","2020",754218,0.0692683605470963,736
"75",6,"natgas","2019",2468721,0.250244151691323,371
"76",6,"natgas","2020",3734770,0.344814042361638,736
"77",6,"nuclear","2019",2442789,0.248580910412364,371
"78",6,"nuclear","2020",2306106,0.214105182996685,736
"79",6,"oil","2019",52929,0.0053845698921828,371
"80",6,"oil","2020",95346,0.00877813159139088,736
"81",6,"solar","2019",95481,0.00966339859414438,371
"82",6,"solar","2020",146753,0.0134144084417567,736
"83",6,"wind","2019",1350984,0.137005310002618,371
"84",6,"wind","2020",895581,0.0833097385555432,736
"85",7,"coal","2019",2404927,0.227328231070275,372
"86",7,"coal","2020",1925954,0.17621912428105,737
"87",7,"hydro","2019",889124,0.0838160476300557,372
"88",7,"hydro","2020",777714,0.0709086280443342,737
"89",7,"natgas","2019",2988938,0.282187307595884,372
"90",7,"natgas","2020",3742079,0.34275348444074,737
"91",7,"nuclear","2019",2462636,0.235238204347516,372
"92",7,"nuclear","2020",2317736,0.213292485844299,737
"93",7,"oil","2019",58495,0.00553199351064867,372
"94",7,"oil","2020",98105,0.00897321043468881,737
"95",7,"solar","2019",108779,0.00989091841040294,372
"96",7,"solar","2020",128800,0.0117062298921773,737
"97",7,"wind","2019",1096982,0.10564598229825,372
"98",7,"wind","2020",869561,0.0800922922809903,737
