"","results.parameter","results.city","results.country","results.coordinates.latitude","results.coordinates.longitude","units","valuemax","valuemean"
"1","pm25","Anqing","CN",30.5103,117.0549,"micrograms per cubic meter",167,60.3267716535433
"2","pm25","Anqing","CN",30.51197222,117.0331111,"micrograms per cubic meter",211,66.4426877470356
"3","pm25","Anqing","CN",30.6145,116.9894,"micrograms per cubic meter",136,54.9130434782609
"4","pm25","Astana","KZ",51.125286,71.46722,"micrograms per cubic meter",842,18.7006802721088
"5","pm25","BANNOCK","US",42.589833,-112.458889,"micrograms per cubic meter",137.8,16.4555339805825
"6","pm25","BAYAMON","US",18.41923,-66.15042,"micrograms per cubic meter",54.9,13.486875
"7","pm25","Bengbu","CN",32.8913,117.4186,"micrograms per cubic meter",124,43.9341317365269
"8","pm25","Bengbu","CN",32.8985,117.3065,"micrograms per cubic meter",144,47.1616766467066
"9","pm25","Bengbu","CN",32.935,117.3086,"micrograms per cubic meter",167,59.311377245509
"10","pm25","Bengbu","CN",32.939,117.3961,"micrograms per cubic meter",183,51.4670658682635
"11","pm25","Bengbu","CN",32.9444,117.3575,"micrograms per cubic meter",144,49.0119760479042
"12","pm25","Bengbu","CN",32.9673,117.3536,"micrograms per cubic meter",126,47.8363636363636
"13","pm25","Bowling Green","US",37.1314,-86.1481,"micrograms per cubic meter",21.2,7.14251012145749
"14","pm25","Bozhou","CN",33.8399,115.8067,"micrograms per cubic meter",147,44.9447513812155
"15","pm25","Bozhou","CN",33.8561,115.7831,"micrograms per cubic meter",146,41.1416666666667
"16","pm25","Brabant wallon","BE",50.655439,4.668288,"micrograms per cubic meter",32.5802,10.0001977397436
"17","pm25","CACHE","US",41.842778,-111.85194,"micrograms per cubic meter",59.5,15.6087267525036
"18","pm25","CAMERON","US",26.0733,-97.1667,"micrograms per cubic meter",25.2,6.9953488372093
"19","pm25","CARBON","US",41.452132,-106.813928,"micrograms per cubic meter",26,3.81707317073171
"20","pm25","CATANO","US",18.428388,-66.141657,"micrograms per cubic meter",30.6,7.60975609756098
"21","pm25","Chizhou","CN",30.6539,117.4974,"micrograms per cubic meter",116,46.2072072072072
"22","pm25","Chizhou","CN",30.6617,117.4697,"micrograms per cubic meter",106,42.5495495495495
"23","pm25","Chuzhou","CN",32.2786,118.3244,"micrograms per cubic meter",98,38.960960960961
"24","pm25","Chuzhou","CN",32.3061,118.3158,"micrograms per cubic meter",94,35.8173652694611
"25","pm25","Chuzhou","CN",32.3153,118.3094,"micrograms per cubic meter",97,39.6246246246246
"26","pm25","Civitavecchia","IT",42.081825,11.809336,"micrograms per cubic meter",14,6.80851063829787
"27","pm25","Civitavecchia","IT",42.098903,11.817692,"micrograms per cubic meter",20,7.63953488372093
"28","pm25","Civitavecchia","IT",42.102158,11.784358,"micrograms per cubic meter",15,7.82978723404255
"29","pm25","Civitavecchia","IT",42.160972,11.900022,"micrograms per cubic meter",28,7.57954545454545
"30","pm25","Coeur d'Alene","US",47.7889,-116.8044,"micrograms per cubic meter",41,11.0618661257606
"31","pm25","Dubrovacko-neretvanska","HR",42.6446972216871,18.1226111111111,"micrograms per cubic meter",11,5.28958333333333
"32","pm25","Durango","US",37.10258,-107.870219,"micrograms per cubic meter",13.4,4.044
"33","pm25","Eure-et-Loir","FR",48.439285876297,1.46877243899394,"micrograms per cubic meter",53.2,10.6083333333333
"34","pm25","Evansville","US",37.8714,-87.4633,"micrograms per cubic meter",17.1,7.76574074074074
"35","pm25","FAYETTE","US",29.962474,-96.745875,"micrograms per cubic meter",20.3,4.9591
"36","pm25","Frosinone","IT",41.49,13.83069,"micrograms per cubic meter",89,26.3655913978495
"37","pm25","Frosinone","IT",41.639666,13.348913,"micrograms per cubic meter",61,16.7872340425532
"38","pm25","Frosinone","IT",41.67,13.674472,"micrograms per cubic meter",23,8.73118279569892
"39","pm25","Frosinone","IT",41.69,13.250411,"micrograms per cubic meter",51,19.2790697674419
"40","pm25","Fuyang","CN",32.8603,115.8556,"micrograms per cubic meter",144,56.0329341317365
"41","pm25","Fuyang","CN",32.88922222,115.7838889,"micrograms per cubic meter",137,52.8567164179104
"42","pm25","Fuyang","CN",32.8928,115.8275,"micrograms per cubic meter",149,52.3957703927492
"43","pm25","Gharb","MT",36.0670700094886,14.19715309,"micrograms per cubic meter",67.7,10.6695647948164
"44","pm25","Haute-Vienne","FR",45.8310745543702,1.25687782977583,"micrograms per cubic meter",357.6,9.63541017653167
"45","pm25","Hefei","CN",31.7386,117.278,"micrograms per cubic meter",84,40.1862745098039
"46","pm25","Hefei","CN",31.7848,117.196,"micrograms per cubic meter",72,36.5686274509804
"47","pm25","Hefei","CN",31.7956,117.302,"micrograms per cubic meter",77,41.8910891089109
"48","pm25","Hefei","CN",31.8516,117.124,"micrograms per cubic meter",108,36.6022727272727
"49","pm25","Hefei","CN",31.8572,117.25,"micrograms per cubic meter",83,38.5686274509804
