"","results.parameter","results.city","results.country","results.coordinates.latitude","results.coordinates.longitude","units","valuemax","valuemean","tally"
"1","pm25"," Alwar","IN",27.554793,76.611536,"micrograms per cubic meter",42.46,39.25625,8
"2","pm25","Aberdeen","GB",57.15736,-2.094278,"micrograms per cubic meter",4,2.60344827586207,116
"3","pm25","Aberdeen","US",46.9772,-123.8317,"micrograms per cubic meter",174,74.1571428571429,84
"4","pm25","Aberdeen","US",47.339802,-124.291801,"micrograms per cubic meter",200.7,69.0222222222222,72
"5","pm25","Abu Dhabi","AE",24.424399,54.433746,"micrograms per cubic meter",73,46.0086206896552,116
"6","pm25","ADA","US",43.647888,-116.269409,"micrograms per cubic meter",44,14.6516853932584,89
"7","pm25","ADAIR","US",35.750599,-94.669701,"micrograms per cubic meter",31.3,8.43033707865169,89
"8","pm25","ADAMS","US",47.127998,-118.381897,"micrograms per cubic meter",226.5,47.2132530120482,83
"9","pm25","Addis Ababa","ET",9.058498,38.761642,"micrograms per cubic meter",186,31.9655172413793,116
"10","pm25","Adelaide","AU",-34.9438035,138.549098,"micrograms per cubic meter",10,4.00892857142857,112
"11","pm25","Adelaide","AU",-34.92889,138.6010841,"micrograms per cubic meter",12.2,5.69545454545455,44
"12","pm25","Adelaide","AU",-34.79128,138.4978642,"micrograms per cubic meter",8,4.40909090909091,22
"13","pm25","Adrian","US",41.995602,-83.946701,"micrograms per cubic meter",27.4,7.75480769230769,104
"14","pm25","Agra","IN",27.19865833,78.00598056,"micrograms per cubic meter",106,88.5,8
"15","pm25","Ahmedabad","IN",23.002657,72.591912,"micrograms per cubic meter",108.19,42.0975,8
"16","pm25","Ain","FR",46.2116413286108,5.22638933985453,"micrograms per cubic meter",9.9,5.83130434782609,115
"17","pm25","Aisne","FR",49.8428234743806,3.28143793505452,"micrograms per cubic meter",25.1,11.7139130434783,115
"18","pm25","Aizawl","IN",23.7176342,92.7192841,"micrograms per cubic meter",10,4.57894736842105,19
"19","pm25","Ajmer","IN",26.470859,74.646594,"micrograms per cubic meter",38.5,29.3875,8
"20","pm25","Akron","US",41.063526,-81.468956,"micrograms per cubic meter",27.5,11.795145631068,103
"21","pm25","ALAMEDA","US",37.864767,-122.302741,"micrograms per cubic meter",204,80.0752688172043,93
"22","pm25","Albany-Lebanon","US",44.3958,-122.7305,"micrograms per cubic meter",503.7,242.820289855072,69
"23","pm25","Albany-Lebanon","US",44.61569,-123.091457,"micrograms per cubic meter",552.2,209.396551724138,58
"24","pm25","Albany-Schenectady-Troy","US",42.6425,-73.7547,"micrograms per cubic meter",16.3,8.44583333333333,72
"25","pm25","ALBERTA","CA",49.7164,-112.8006,"micrograms per cubic meter",18.1,5.23965517241379,58
"26","pm25","ALBERTA","CA",50.0492,-110.6814,"micrograms per cubic meter",12,3.98103448275862,58
"27","pm25","ALBERTA","CA",51.047611,-114.075165,"micrograms per cubic meter",21.9,6.77407407407407,54
"28","pm25","ALBERTA","CA",51.0814,-114.1403,"micrograms per cubic meter",15,4.82280701754386,57
"29","pm25","ALBERTA","CA",51.95,-114.7,"micrograms per cubic meter",8.8,3.85454545454545,44
"30","pm25","ALBERTA","CA",52.2989,-113.7942,"micrograms per cubic meter",14,4.81206896551724,58
