"","Year","carbonemissions","proj"
"1",1990,1819.950589,"Historic"
"2",1991,1817.358684,"Historic"
"3",1992,1830.687959,"Historic"
"4",1993,1906.172074,"Historic"
"5",1994,1930.468474,"Historic"
"6",1995,1947.173238,"Historic"
"7",1996,2020.242971,"Historic"
"8",1997,2087.519803,"Historic"
"9",1998,2176.554625,"Historic"
"10",1999,2189.665823,"Historic"
"11",2000,2296.030775,"Historic"
"12",2001,2257.085008,"Historic"
"13",2002,2272.138414,"Historic"
"14",2003,2303.560467,"Historic"
"15",2004,2334.99299,"Historic"
"16",2005,2399.973541,"Historic"
"17",2006,2344.35248,"Historic"
"18",2007,2411.111315,"Historic"
"19",2008,2359.310818,"Historic"
"20",2009,2145.330594,"Historic"
"21",2010,2258.618541,"Historic"
"22",2011,2158.055471,"Historic"
"23",2012,2023.246205,"Historic"
"24",2013,2038.257935,"Historic"
"25",2014,2037.14777,"Historic"
"26",2015,1900.624461,"Historic"
"27",2016,1808.86261,"Historic"
"28",2017,1732.024827,"Historic"
"29",2018,1752.84875,"Historic"
"30",2019,1582.69,"Historic"
"31",2020,1426.901213424,"Projected"
